mean_6_alpha_5,mean_6_alpha_10,mean_6_alpha_20,mean_6_alpha_50,mean_5_alpha_5,mean_5_alpha_10,mean_5_alpha_20,mean_5_alpha_50,mean_4_alpha_5,mean_4_alpha_10,mean_4_alpha_20,mean_4_alpha_50,mean_3_alpha_5,mean_3_alpha_10,mean_3_alpha_20,mean_3_alpha_50
0,0,0,0,1,0,0,0,220,0,0,0,13849,1176,10,0
0,0,0,0,4,0,0,0,641,1,0,0,14549,5055,368,0
0,0,0,0,13,0,0,0,983,8,0,0,12742,8499,2037,20
0,0,0,0,6,0,0,0,1327,29,0,0,10618,10507,5188,327
0,0,0,0,13,0,0,0,1611,63,0,0,8816,10964,8814,2067
0,0,0,0,31,0,0,0,1841,121,0,0,7264,10858,11556,6438
0,0,0,0,29,0,0,0,2070,197,1,0,5907,9825,12831,12368
0,0,0,0,57,0,0,0,2195,293,1,0,4787,8500,12854,17350
1,0,0,0,56,0,0,0,2344,356,7,0,3973,7354,11417,18301
0,0,0,0,75,0,0,0,2552,481,13,0,3327,6133,9529,16003
0,0,0,0,92,0,0,0,2563,644,18,0,2745,4985,7666,11792
2,0,0,0,123,0,0,0,2718,876,37,0,2174,3781,5755,7417
2,0,0,0,135,1,0,0,2801,1063,60,0,1785,3079,4006,4213
0,0,0,0,135,0,0,0,2854,1240,133,0,1465,2373,2870,2045
3,0,0,0,159,1,0,0,2861,1472,218,0,1168,1884,1918,964
4,0,0,0,199,1,0,0,2973,1679,274,1,988,1291,1229,430
2,0,0,0,244,0,0,0,2911,1911,397,2,777,1039,799,183
1,0,0,0,241,3,0,0,2827,2159,565,7,626,751,490,50
3,0,0,0,246,3,0,0,3063,2328,766,13,522,566,278,21
0,0,0,0,329,8,0,0,2921,2616,1015,37,419,389,158,9
3,0,0,0,349,9,0,0,2967,2712,1334,56,313,323,121,2
2,0,0,0,380,9,0,0,2695,2942,1577,123,273,205,50,0
1,0,0,0,404,6,0,0,2829,3136,1937,205,196,154,23,0
0,0,0,0,450,22,0,0,2661,3219,2330,397,149,107,17,0
6,0,0,0,493,21,0,0,2673,3264,2800,615,122,76,8,0
8,0,0,0,548,20,0,0,2602,3559,3091,1029,100,44,2,0
8,0,0,0,587,27,0,0,2460,3587,3565,1538,89,31,4,0
10,0,0,0,624,46,0,0,2340,3618,3853,2136,61,16,1,0
12,0,0,0,639,51,0,0,2451,3656,4194,2838,48,14,1,0
11,0,0,0,699,57,0,0,2236,3598,4497,3712,38,4,0,0
12,0,0,0,745,74,0,0,2114,3551,4618,4672,18,6,0,0
13,0,0,0,820,87,1,0,1999,3526,4933,5527,17,8,0,0
17,0,0,0,798,102,0,0,1846,3333,5063,6503,28,1,0,0
25,0,0,0,917,124,0,0,1871,3243,5017,7186,13,1,0,0
19,0,0,0,925,123,5,0,1804,3359,4890,7380,8,0,0,0
27,0,0,0,954,151,1,0,1642,3002,4791,7818,3,1,0,0
24,0,0,0,1094,188,2,0,1551,2885,4536,7672,4,0,0,0
